Variable,coef,std_err,z,p_value,CI_0.025,CI_0.975
const,-0.0262,0.049,-0.535,0.593,-0.122,0.07
DRAFT_ROUND,0.1632,0.097,1.685,0.092,-0.027,0.353
DRAFT_NUMBER,-0.0148,0.003,-4.737,0,-0.021,-0.009
active_cap,-6.42E-09,4.14e-09,-1.549,0.121,-1.45E-08,1.7e-09
dead_cap,-4.48E-09,5.14e-09,-0.872,0.383,-1.45E-08,5.59e-09
OWNER_NET_WORTH_B,0.0019,0.004,0.532,0.595,-0.005,0.009
Capacity,-1.84E-05,4.37e-05,-0.42,0.675,-6.74E-05,6.74e-05
STADIUM_YEAR_OPENED,-0.006,0.008,-0.802,0.422,-0.021,0.009
STADIUM_COST,-2.18E-10,2.88e-10,-0.756,0.45,-7.82E-10,3.47e-10
Followers,8.237e-10,6.15e-09,0.134,0.894,-1.12E-08,1.29e-08
Age,0.0704,0.014,5.211,0,0.044,0.097
is_USA,-0.085,0.108,-0.787,0.431,-0.297,0.127
